sequenceID	locus_name	locus_numeric_id	stem	host_species	host_class	host_superorder	host_order	host_family	host_genus	organism	target_datatype	target_version	target_name	scaffold	orientation	extract_start	extract_end	assigned_gene	subject_start	subject_end	query_start	query_end	align_len	bitscore	identity	evalue_num	evalue_exp	gap_openings	mismatches	locus_structure	sequence_length	virus_genus
dependo.14-Papio_anubis	dependo.14-cercopithecidae	14	dependo.14	Papio_anubis	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Papio	Papio_anubis	low_coverage	goldenpath_papAnu2	papAnu2.fa_1.fa	chr11	-	48228901	48230286	Rep	1	453	1	1359	453	890	94.481	0	1	0	0	NS[dependo.14-cercopithecidae(-)]	1386	Dependoparvovirus
dependo.14-Erythrocebus_patas	dependo.14-cercopithecidae	14	dependo.14	Erythrocebus_patas	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Erythrocebus	Erythrocebus_patas	low_coverage	EryPat_v1	GCA_004027335.1_EryPat_v1_BIUU_genomic.fna	PVJV010078729.1	-	3740	4492	Rep	1	251	1	753	251	450	85.657	2.23	161	0	0	NS[dependo.160-Erythrocebus_patas(-)]	753	Dependoparvovirus
dependo.15-Colobus_angolensis_palliatus	dependo.15-colobus	15	dependo.15	Colobus_angolensis_palliatus	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Colobus	Colobus_angolensis_palliatus	low_coverage	ncbi_100_2015	336983_ref_Cang.pa_1.0_chrUn.fa	gi|786079843|ref|NW_012115044.1|	-	2545921	2546379	Rep	1	149	10	456	149	310	100	2.04	112	0	0	NS[dependo.15-colobus(-)]	459	Dependoparvovirus
dependo.16-Canis_lupus_dingo	dependo.16-canid	16	dependo.16	Canis_lupus_dingo	Mammalia	Laurasiatheria	Carnivora	Canidae	Canis	Canis_lupus_dingo	low_coverage	ASM325472v1	GCA_003254725.1_ASM325472v1_genomic.fna	QKWQ01002355.1	+	21722204	21722566	VP	1	121	1	363	121	249	99.174	2.3	89	0	0	VP[dependo.16-canid(+)]	363	Dependoparvovirus
dependo.16-Lycaon_pictus	dependo.16-canid	16	dependo.16	Lycaon_pictus	Mammalia	Laurasiatheria	Carnivora	Canidae	Lycaon	Lycaon_pictus	low_coverage	LycPicSAfr1.0	GCA_001887905.1_LycPicSAfr1.0_genomic.fna	CM007562.1	-	9266116	9266478	VP	1	121	1	363	121	242	96.694	1.99	86	0	0	VP[dependo.16-canid(-)]	363	Dependoparvovirus
dependo.16-Canis_familiaris	dependo.16-canid	16	dependo.16	Canis_familiaris	Mammalia	Laurasiatheria	Carnivora	Canidae	Canis	Canis_familiaris	low_coverage	goldenpath_canFam3	canFam3.fa	chr37	-	9272279	9272599	VP	1	107	1	321	107	223	100	2.03	79	0	0	VP[dependo.16-canid(-)]	321	Dependoparvovirus
dependo.16-Vulpes_lagopus	dependo.16-canid	16	dependo.16	Vulpes_lagopus	Mammalia	Laurasiatheria	Carnivora	Canidae	Vulpes	Vulpes_lagopus	low_coverage	VulLag_v1_BIUU	GCA_004023825.1_VulLag_v1_BIUU_genomic.fna	PISU010002574.1	-	129142	129372	VP	1	77	1	231	77	150	94.805	6.18	51	0	0	VP[dependo.16-canid(-)]	231	Dependoparvovirus
dependo.16-Vulpes_vulpes	dependo.16-canid	16	dependo.16	Vulpes_vulpes	Mammalia	Laurasiatheria	Carnivora	Canidae	Vulpes	Vulpes_vulpes	low_coverage	VulVul2.2	GCA_003160815.1_VulVul2.2_genomic.fna	NBDQ01000042.1	-	5766666	5766896	VP	1	77	1	231	77	148	93.506	4.45	50	0	0	VP[dependo.16-canid(-)]	231	Dependoparvovirus
dependo.20-Equus_asinus_somalicus	dependo.20-laurasiatheria	20	dependo.20	Equus_asinus_somalicus	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus	Equus_asinus_somalicus	low_coverage	Henan_21MAR2017	Equus_asinus_somalicus.cns.fa	scaffold15255	-	44734	44970	Rep	1	77	4	234	77	159	100	6.3	55	0	0	NS[dependo.20-laurasiatheria(-)]	237	Dependoparvovirus
dependo.20-Equus_africanus_asinus	dependo.20-laurasiatheria	20	dependo.20	Equus_africanus_asinus	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus	Equus_africanus_asinus	low_coverage	willy_denovo	Donkey.scafSequence.fa	scaffold15255	-	44734	44970	Rep	1	77	4	234	77	159	100	6.3	55	0	0	NS[dependo.20-laurasiatheria(-)]	237	Dependoparvovirus
dependo.20-Equus_hemionus	dependo.20-laurasiatheria	20	dependo.20	Equus_hemionus	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus	Equus_hemionus	low_coverage	Henan_21MAR2017	Equus_hemionus.cns.fa	scaffold15255	-	44734	44970	Rep	1	77	4	234	77	159	100	6.3	55	0	0	NS[dependo.20-laurasiatheria(-)]	237	Dependoparvovirus
dependo.20-Equus_kiang	dependo.20-laurasiatheria	20	dependo.20	Equus_kiang	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus	Equus_kiang	low_coverage	Henan_21MAR2017	Equus_kiang.cns.fa	scaffold15255	-	44734	44970	Rep	1	77	4	234	77	159	100	6.3	55	0	0	NS[dependo.20-laurasiatheria(-)]	237	Dependoparvovirus
dependo.20-Equus_burchellii_boehmi	dependo.20-laurasiatheria	20	dependo.20	Equus_burchellii_boehmi	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus	Equus_burchellii_boehmi	low_coverage	Henan_16MAR2017	Equus_burchellii_boehmi.cns.fa	chr8	-	1277542	1277778	Rep	1	77	4	234	77	159	100	6.3	55	0	0	NS[dependo.20-laurasiatheria(-)]	237	Dependoparvovirus
dependo.20-Equus_grevyi	dependo.20-laurasiatheria	20	dependo.20	Equus_grevyi	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus	Equus_grevyi	low_coverage	Henan_16MAR2017	Equus_grevyi.cns.fa	chr8	-	1277542	1277778	Rep	1	77	4	234	77	159	100	6.3	55	0	0	NS[dependo.20-laurasiatheria(-)]	237	Dependoparvovirus
dependo.20-Equus_zebra_hartmannae	dependo.20-laurasiatheria	20	dependo.20	Equus_zebra_hartmannae	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus	Equus_zebra_hartmannae	low_coverage	Henan_16MAR2017	Equus_zebra_hartmannae.cns.fa	chr8	-	1277542	1277778	Rep	1	77	4	234	77	156	98.701	7.06	54	0	0	NS[dependo.20-laurasiatheria(-)]	237	Dependoparvovirus
dependo.20-Equus_caballus	dependo.20-laurasiatheria	20	dependo.20	Equus_caballus	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus	Equus_caballus	complete	goldenpath_equCab2_Dec13	chr8.fa	chr8	-	1277542	1277778	Rep	1	77	4	234	77	155	97.403	2.5	53	0	0	NS[dependo.20-laurasiatheria(-)]	237	Dependoparvovirus
dependo.20-Felis_nigripes	dependo.20-laurasiatheria	20	dependo.29	Felis_nigripes	Mammalia	Laurasiatheria	Carnivora	Felidae	Felis	Felis_nigripes	low_coverage	FelNig_v1_BIUU	GCA_004023925.1_FelNig_v1_BIUU_genomic.fna	PISY01050105.1	+	6610	6759	rep	1	50	1	150	50	103	100	8.64	34	0	0	NS[REF_Dependo_MDPV(+)]	150	Dependoparvovirus
dependo.20-Lynx_canadensis	dependo.20-laurasiatheria	20	dependo.29	Lynx_canadensis	Mammalia	Laurasiatheria	Carnivora	Felidae	Lynx	Lynx_canadensis	low_coverage	LynCan4_v1	GCF_007474595.1_mLynCan4_v1.p_genomic.fna	NC_044314.1	-	74711256	74711405	rep	1	50	1	150	50	103	100	8.64	34	0	0	NS[REF_Dependo_MDPV(-)]	150	Dependoparvovirus
dependo.20-Prionailurus_bengalensis_euptilurus	dependo.20-laurasiatheria	20	dependo.29	Prionailurus_bengalensis_euptilurus	Mammalia	Laurasiatheria	Carnivora	Felidae	Prionailurus	Prionailurus_bengalensis_euptilurus	low_coverage	v01	GCA_005406085.1_Prionailurus_bengalensis_euptilurus_v01_genomic.fna	BIMV01006763.1	+	3659	3808	rep	1	50	1	150	50	102	98	3.65	33	0	0	NS[dependo.2-vespertilionidae(+)]	150	Dependoparvovirus
dependo.20-Panthera_onca	dependo.20-laurasiatheria	20	dependo.29	Panthera_onca	Mammalia	Laurasiatheria	Carnivora	Felidae	Panthera	Panthera_onca	low_coverage	PanOnc_v1_BIUU	GCA_004023805.1_PanOnc_v1_BIUU_genomic.fna	PISV01002781.1	+	182008	182157	rep	1	50	1	150	50	102	98	3.81	33	0	0	NS[dependo.2-vespertilionidae(+)]	150	Dependoparvovirus
dependo.20-Panthera_leo	dependo.20-laurasiatheria	20	dependo.29	Panthera_leo	Mammalia	Laurasiatheria	Carnivora	Felidae	Panthera	Panthera_leo	low_coverage	UCSF_Mcou_1	GCA_008795835.1_PanLeo1.0_genomic.fna	CM018472.1	-	69507453	69507602	rep	1	50	1	150	50	102	98	3.81	33	0	0	NS[dependo.2-vespertilionidae(-)]	150	Dependoparvovirus
dependo.20-Panthera_tigris_altaica	dependo.20-laurasiatheria	20	dependo.29	Panthera_tigris_altaica	Mammalia	Laurasiatheria	Carnivora	Felidae	Panthera	Panthera_tigris_altaica	low_coverage	ncbi_100_2014-03	74533_ref_PanTig1.0_chrUn.fa	gi|589288889|ref|NW_006712088.1|	-	732706	732855	rep	1	50	1	150	50	102	98	3.81	33	0	0	NS[dependo.2-vespertilionidae(-)]	150	Dependoparvovirus
dependo.20-Puma_concolor	dependo.20-laurasiatheria	20	dependo.29	Puma_concolor	Mammalia	Laurasiatheria	Carnivora	Felidae	Puma	Puma_concolor	low_coverage	GCF_003327715.1_PumCon1.0	GCF_003327715.1_PumCon1.0_genomic.fna	NW_020340053.1	-	10982448	10982597	rep	1	50	1	150	50	97.4	96	2.45	31	0	0	NS[REF_Dependo_MDPV(-)]	150	Dependoparvovirus
dependo.20-Paradoxurus_hermaphroditus	dependo.20-laurasiatheria	20	dependo.29	Paradoxurus_hermaphroditus	Mammalia	Laurasiatheria	Carnivora	Viverridae	Paradoxurus	Paradoxurus_hermaphroditus	low_coverage	ParHer_v1_BIUU	GCA_004024585.1_ParHer_v1_BIUU_genomic.fna	PITB01008125.1	-	59567	59731	rep	1	50	13	162	50	93.2	90	1.5	29	0	0	NS[dependo.22-laurasiatheria(-)]	165	Dependoparvovirus
dependo.20-Callorhinus_ursinus	dependo.20-laurasiatheria	20	dependo.29	Callorhinus_ursinus	Mammalia	Laurasiatheria	Carnivora	Otariidae	Callorhinus	Callorhinus_ursinus	low_coverage	ASM326570v1	GCA_003265705.1_ASM326570v1_genomic.fna	KZ836403.1	+	1669062	1669304	rep	1	46	100	237	46	75.5	73.913	6.01	22	0	0	NS[REF_Dependo_GPV(+)]	243	Dependoparvovirus
dependo.20-Zalophus_californianus	dependo.20-laurasiatheria	20	dependo.29	Zalophus_californianus	Mammalia	Laurasiatheria	Carnivora	Otariidae	Zalophus	Zalophus_californianus	low_coverage	zalCal2.2	GCF_900631625.1_zalCal2.2_genomic.fna	NW_020878390.1	-	24819086	24819328	rep	1	46	100	237	46	75.5	73.913	6.01	22	0	0	NS[REF_Dependo_GPV(-)]	243	Dependoparvovirus
dependo.20-Eumetopias_jubatus	dependo.20-laurasiatheria	20	dependo.29	Eumetopias_jubatus	Mammalia	Laurasiatheria	Carnivora	Otariidae	Eumetopias	Eumetopias_jubatus	low_coverage	ASM402803v1	GCA_004028035.1_ASM402803v1_genomic.fna	ML137966.1	+	207960	208202	rep	1	46	100	237	46	75.5	73.913	6.01	22	0	0	NS[REF_Dependo_GPV(+)]	243	Dependoparvovirus
dependo.20-Gulo_gulo	dependo.20-laurasiatheria	20	dependo.29	Gulo_gulo	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo	Gulo_gulo	low_coverage	Gulo_2.2	GCA_900006375.1_Gulo_2.2_genomic.fna	CYRY01002055.1	-	44039	44203	rep	1	49	19	165	49	72	67.347	4.88	21	0	0	NS[REF_Dependo_GPV(-)]	165	Dependoparvovirus
dependo.20-Martes_zibellina	dependo.20-laurasiatheria	20	dependo.29	Martes_zibellina	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Martes	Martes_zibellina	low_coverage	ASM1258336v1	GCA_012583365.1_ASM1258336v1_genomic.fna	RDFD01012257.1	-	697845	697988	rep	1	42	19	144	42	70.9	73.81	8.08	21	0	0	NS[dependo.46-glires(-)]	144	Dependoparvovirus
dependo.20-Lipotes_vexillifer	dependo.20-laurasiatheria	20	dependo.20	Lipotes_vexillifer	Mammalia	Laurasiatheria	Cetacea	Lipotidae	Lipotes	Lipotes_vexillifer	low_coverage	ncbi_100_2014-04-27	118797_ref_Lipotes_vexillifer_v1_chrUn.fa	gi|599273349|ref|NW_006777435.1|	+	1004199	1004375	Rep	20	77	1	174	58	70.1	55.172	5.09	20	0	0	NS[dependo.20-laurasiatheria(+)]	177	Dependoparvovirus
dependo.20-Physeter_catodon	dependo.20-laurasiatheria	20	dependo.20	Physeter_catodon	Mammalia	Laurasiatheria	Cetacea	Physeteridae	Physeter	Physeter_catodon	low_coverage	2.0.2	9755_ref_Physeter_macrocephalus-2.0.2_chrUn.fa	gi|589812373|ref|NW_006724217.1|	-	632335	632556	Rep	23	77	1	165	55	68.9	56.364	3.04	19	0	0	NS[dependo.20-laurasiatheria(-)]	222	Dependoparvovirus
dependo.20-Mesoplodon_bidens	dependo.20-laurasiatheria	20	dependo.20	Mesoplodon_bidens	Mammalia	Laurasiatheria	Cetacea	Ziphiidae	Mesoplodon	Mesoplodon_bidens	low_coverage	MesBid_v1	GCA_004027085.1_MesBid_v1_BIUU_genomic.fna	PVJJ010062959.1	-	3258	3443	Rep	20	77	10	183	58	68.6	53.448	2.82	19	0	0	NS[dependo.20-laurasiatheria(-)]	186	Dependoparvovirus
dependo.20-Inia_geoffrensis	dependo.20-laurasiatheria	20	dependo.20	Inia_geoffrensis	Mammalia	Laurasiatheria	Cetacea	Iniidae	Inia	Inia_geoffrensis	low_coverage	IniGeo_v1_BIUU	GCA_004363515.1_IniGeo_v1_BIUU_genomic.fna	RJWO010003217.1	+	2537	2764	Rep	20	77	52	225	58	67	51.724	1.97	18	0	0	NS[dependo.20-laurasiatheria(+)]	228	Dependoparvovirus
dependo.20-Halichoerus_grypus	dependo.20-laurasiatheria	20	dependo.29	Halichoerus_grypus	Mammalia	Laurasiatheria	Carnivora	Phocidae	Halichoerus	Halichoerus_grypus	low_coverage	Tufts_HGry_1.1	GCA_012393455.1_Tufts_HGry_1.1_genomic.fna	JAAXOB010002173.1	+	22896	23051	rep	1	45	22	156	45	58.2	62.222	1.36	15	0	0	NS[REF_Dependo_GPV(+)]	156	Dependoparvovirus
dependo.20-Kogia_breviceps	dependo.20-laurasiatheria	20	dependo.20	Kogia_breviceps	Mammalia	Laurasiatheria	Cetacea	Physeteridae	Kogia	Kogia_breviceps	low_coverage	v1_BIUU	GCA_004363705.1_KogBre_v1_BIUU_genomic.fna	RJWL010008957.1	-	43647	43829	Rep	28	70	1	129	43	51.6	53.488	1.3	12	0	0	NS[dependo.20-laurasiatheria(-)]	183	Dependoparvovirus
dependo.22-Manis_pentadactyla	dependo.22-laurasiatheria	22	dependo.22	Manis_pentadactyla	Mammalia	Laurasiatheria	Pholidota	Manidae	Manis	Manis_pentadactyla	low_coverage	GCA_000738955.1	M_pentadactyla-1.1.1_genomic.fa	KN010458.1	+	73706	74176	Rep	1	140	55	471	140	204	73.571	2.08	69	1	0	NS[dependo.22-laurasiatheria(+)]	471	Dependoparvovirus
dependo.22-Cervus_elaphus_hippelaphus	dependo.22-laurasiatheria	22	dependo.22	Cervus_elaphus_hippelaphus	Mammalia	Laurasiatheria	Unclassified	Cervidae	Cervus	Cervus_elaphus_hippelaphus	low_coverage	Celaphus1.0	GCA_002197005.1_Celaphus1.0_genomic.fna	CM008041.1	-	61072656	61073381	Rep	1	205	100	696	209	199	56.459	2.61	66	7	0	NS[dependo.22-laurasiatheria(-)]	726	Dependoparvovirus
dependo.22-Diceros_bicornis	dependo.22-laurasiatheria	22	dependo.22	Diceros_bicornis	Mammalia	Laurasiatheria	Perissodactyla	Rhinocerotidae	Diceros	Diceros_bicornis	low_coverage	DicBicMic_v1_BIUU	GCA_004027315.1_DicBicMic_v1_BIUU_genomic.fna	PVJY010002153.1	-	50633	51349	Rep	1	206	64	687	213	199	56.338	1.7	66	4	0	NS[dependo.22-laurasiatheria(-)]	717	Dependoparvovirus
dependo.22-Manis_javanica	dependo.22-laurasiatheria	22	dependo.22	Manis_javanica	Mammalia	Laurasiatheria	Pholidota	Manidae	Manis	Manis_javanica	low_coverage	ManJav1.0	GCF_001685135.1_ManJav1.0_genomic.fna	NW_016535211.1	-	19833	20303	Rep	1	140	55	471	140	197	70.714	6.79	67	1	0	NS[dependo.22-laurasiatheria(-)]	471	Dependoparvovirus
dependo.22-Manis_tricuspis	dependo.22-laurasiatheria	22	dependo.22	Manis_tricuspis	Mammalia	Laurasiatheria	Pholidota	Manidae	Manis	Manis_tricuspis	low_coverage	ManTri_v1_BIUU	GCA_004765945.1_ManTri_v1_BIUU_genomic.fna	SOZM010031246.1	+	4574	5047	Rep	1	141	55	474	141	197	71.631	1.26	66	1	0	NS[dependo.22-laurasiatheria(+)]	474	Dependoparvovirus
dependo.22-Dicerorhinus_sumatrensis_sumatrensis	dependo.22-laurasiatheria	22	dependo.22	Dicerorhinus_sumatrensis_sumatrensis	Mammalia	Laurasiatheria	Perissodactyla	Rhinocerotidae	Dicerorhinus	Dicerorhinus_sumatrensis_sumatrensis	low_coverage	ASM284483v1	GCA_002844835.1_ASM284483v1_genomic.fna	PEKH010005789.1	-	184790	185230	Rep	89	206	55	411	119	192	78.992	6.62	65	1	0	NS[dependo.22-laurasiatheria(-)]	441	Dependoparvovirus
dependo.22-Eptesicus_fuscus	dependo.22-laurasiatheria	22	dependo.22	Eptesicus_fuscus	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Eptesicus	Eptesicus_fuscus	low_coverage	broad_1.0_april_2013	Eptesicus_f.unplaced.scaf.fa_19.fa	gi|411115864|gb|JH977699.1|	+	1476841	1477491	Rep	1	204	4	585	208	189	56.25	1.39	62	7	0	NS[dependo.36-vespertilionidae(+)]	651	Dependoparvovirus
dependo.22-Hipposideros_galeritus	dependo.22-laurasiatheria	22	dependo.22	Hipposideros_galeritus	Mammalia	Laurasiatheria	Chiroptera	Hipposideridae	Hipposideros	Hipposideros_galeritus	low_coverage	HipGal_v1	GCA_004027415.1_HipGal_v1_BIUU_genomic.fna	PVLB01002856.1	+	80953	81621	Rep	10	206	1	600	200	184	54.5	1.12	60	2	0	NS[dependo.36-vespertilionidae(+)]	669	Dependoparvovirus
dependo.22-Pteronotus_parnellii	dependo.22-laurasiatheria	22	dependo.22	Pteronotus_parnellii	Mammalia	Laurasiatheria	Chiroptera	Mormoopidae	Pteronotus	Pteronotus_parnellii	low_coverage	ncbi_AWGZ00000000.1_2015-05	AWGZ01.1.fsa_nt.fa	gi|539959617|gb|AWGZ01106480.1|	+	2213	2968	Rep	1	201	52	630	203	173	50.246	7.15	56	4	0	NS[dependo.36-vespertilionidae(+)]	756	Dependoparvovirus
dependo.22-Pantholops_hodgsonii	dependo.22-laurasiatheria	22	dependo.22	Pantholops_hodgsonii	Mammalia	Laurasiatheria	Unclassified	Bovidae	Pantholops	Pantholops_hodgsonii	low_coverage	PHO1.0	pho_ref_PHO1.0_chrUn.fa	gi|553010352|ref|NW_005810654.1|	+	3185241	3185648	Rep	80	201	1	357	122	167	71.311	1.59	55	3	0	NS[dependo.22-laurasiatheria(+)]	408	Dependoparvovirus
dependo.22-Beatragus_hunteri	dependo.22-laurasiatheria	22	dependo.22	Beatragus_hunteri	Mammalia	Laurasiatheria	Unclassified	Bovidae	Beatragus	Beatragus_hunteri	low_coverage	BeaHun_v1_BIUU	GCA_004027495.1_BeaHun_v1_BIUU_genomic.fna	PVKQ01008691.1	-	23765	24172	Rep	80	201	1	357	122	165	70.492	1.05	54	3	0	NS[dependo.22-laurasiatheria(-)]	408	Dependoparvovirus
dependo.22-Rhinolophus_ferrumequinum	dependo.22-laurasiatheria	22	dependo.22	Rhinolophus_ferrumequinum	Mammalia	Laurasiatheria	Chiroptera	Rhinolophidae	Rhinolophus	Rhinolophus_ferrumequinum	low_coverage	ncbi_AWHA00000000.1_2015-05	AWHA01.2.fsa_nt.fa	gi|539521749|gb|AWHA01101022.1|	+	15930	16448	Rep	58	201	1	441	147	156	58.503	2.47	50	1	0	NS[dependo.36-vespertilionidae(+)]	519	Dependoparvovirus
dependo.22-Neophocaena_asiaeorientalis	dependo.22-laurasiatheria	22	dependo.22	Neophocaena_asiaeorientalis	Mammalia	Laurasiatheria	Cetacea	Phocoenidae	Neophocaena	Neophocaena_asiaeorientalis	low_coverage	V1	GCF_003031525.1_Neophocaena_asiaeorientalis_V1_genomic.fna	NW_020174566.1	+	385931	386296	Rep	88	206	7	357	120	152	67.5	1.59	49	4	0	NS[dependo.22-laurasiatheria(+)]	366	Dependoparvovirus
dependo.22-Kobus_ellipsiprymnus	dependo.22-laurasiatheria	22	dependo.22	Kobus_ellipsiprymnus	Mammalia	Laurasiatheria	Unclassified	Bovidae	Kobus	Kobus_ellipsiprymnus	low_coverage	DFW-scaff	GCA_006410655.1_DFW_genomic.fna	SJYR01003115.1	-	140474	141103	Rep	80	201	1	354	122	152	68.033	3.21	48	3	0	NS[dependo.22-laurasiatheria(-)]	630	Dependoparvovirus
dependo.22-Phocoena_phocoena	dependo.22-laurasiatheria	22	dependo.22	Phocoena_phocoena	Mammalia	Laurasiatheria	Cetacea	Phocoenidae	Phocoena	Phocoena_phocoena	low_coverage	GCA_003071005	GCA_003071005.1_ASM307100v1_genomic.fna	PKGA01002432.1	-	4150214	4150579	Rep	88	206	7	357	120	150	67.5	3.48	49	4	0	NS[dependo.22-laurasiatheria(-)]	366	Dependoparvovirus
dependo.22-Platanista_minor	dependo.22-laurasiatheria	22	dependo.22	Platanista_minor	Mammalia	Laurasiatheria	Cetacea	Platanistidae	Platanista	Platanista_minor	low_coverage	PlaMin_v1_BIUU	GCA_004363435.1_PlaMin_v1_BIUU_genomic.fna	RJWK010001250.1	-	67784	68191	Rep	88	206	49	399	120	149	66.667	3.85	48	4	0	NS[dependo.22-laurasiatheria(-)]	408	Dependoparvovirus
dependo.22-Sousa_chinensis	dependo.22-laurasiatheria	22	dependo.22	Sousa_chinensis	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Sousa	Sousa_chinensis	low_coverage	ASM352133v1	GCA_003521335.1_ASM352133v1_genomic.fna	QWLN01008307.1	+	99600	99968	Rep	88	206	7	357	120	147	66.667	6.01	48	4	0	NS[dependo.22-laurasiatheria(+)]	369	Dependoparvovirus
dependo.22-Eonycteris_spelaea	dependo.22-laurasiatheria	22	dependo.22	Eonycteris_spelaea	Mammalia	Laurasiatheria	Chiroptera	Pteropodidae	Eonycteris	Eonycteris_spelaea	low_coverage	Espe.v1	GCA_003508835.1_Espe.v1_genomic.fna	PUFA01000452.1	-	241222	241683	Rep	83	208	13	402	130	145	60.769	1.81	46	2	0	NS[dependo.36-vespertilionidae(-)]	462	Dependoparvovirus
dependo.22-Pteropus_vampyrus	dependo.22-laurasiatheria	22	dependo.22	Pteropus_vampyrus	Mammalia	Laurasiatheria	Chiroptera	Pteropodidae	Pteropus	Pteropus_vampyrus	low_coverage	goldenpath_pteVam1	pteVam1.fa	scaffold_5601	-	29347	29844	Rep	70	206	1	423	141	144	56.738	1.27	45	2	0	NS[dependo.36-vespertilionidae(-)]	498	Dependoparvovirus
dependo.22-Oryx_gazella	dependo.22-laurasiatheria	22	dependo.22	Oryx_gazella	Mammalia	Laurasiatheria	Unclassified	Bovidae	Oryx	Oryx_gazella	low_coverage	GMB	GCA_006410575.1_GMB_genomic.fna	SJYN01004517.1	+	78240	78677	Rep	80	178	1	291	99	144	75.758	5.77	46	2	0	NS[dependo.22-laurasiatheria(+)]	438	Dependoparvovirus
dependo.22-Oryx_gazella	dependo.22-laurasiatheria	22	dependo.22	Oryx_gazella	Mammalia	Laurasiatheria	Unclassified	Bovidae	Oryx	Oryx_gazella	low_coverage	UCDavis_Ogaz_1	GCA_003945745.1_UCDavis_Ogaz_1_genomic.fna	RAWW01004203.1	+	78240	78677	Rep	80	178	1	291	99	144	75.758	5.77	46	2	0	NS[dependo.22-laurasiatheria(+)]	438	Dependoparvovirus
dependo.22-Tapirus_indicus	dependo.22-laurasiatheria	22	dependo.22	Tapirus_indicus	Mammalia	Laurasiatheria	Perissodactyla	Tapiridae	Tapirus	Tapirus_indicus	low_coverage	TapInd_v1_BIUU	GCA_004024905.1_TapInd_v1_BIUU_genomic.fna	PVIE01002835.1	+	165705	166184	Rep	81	206	31	411	129	140	59.69	2.33	44	4	0	NS[dependo.36-vespertilionidae(+)]	480	Dependoparvovirus
dependo.22-Pteropus_alecto	dependo.22-laurasiatheria	22	dependo.22	Pteropus_alecto	Mammalia	Laurasiatheria	Chiroptera	Pteropodidae	Pteropus	Pteropus_alecto	low_coverage	broad_1.0_april_2012	unplaced.scaf.fa_5.fa	gi|431914431|gb|KB030533.1|	+	3953770	3954264	Rep	89	212	52	423	127	139	61.417	1.07	43	3	0	NS[dependo.36-vespertilionidae(+)]	495	Dependoparvovirus
dependo.22-Redunca_redunca	dependo.22-laurasiatheria	22	dependo.22	Redunca_redunca	Mammalia	Laurasiatheria	Unclassified	Bovidae	Redunca	Redunca_redunca	low_coverage	BHR	GCA_006410935.1_BHR_genomic.fna	SJYQ01012414.1	+	8869	9525	Rep	81	201	1	351	121	137	66.116	2.26	42	3	0	NS[dependo.22-laurasiatheria(+)]	657	Dependoparvovirus
dependo.22-Arctocephalus_gazella	dependo.22-laurasiatheria	22	dependo.22	Arctocephalus_gazella	Mammalia	Laurasiatheria	Carnivora	Otariidae	Arctocephalus	Arctocephalus_gazella	low_coverage	ArcGazv1.4	GCA_900500725.1_ArcGazv1.4_genomic.fna	UIRR01000299.1	+	2684790	2685233	Rep	52	186	4	408	137	137	59.124	1.33	43	3	0	NS[dependo.22-laurasiatheria(+)]	444	Dependoparvovirus
dependo.22-Hippopotamus_amphibius	dependo.22-laurasiatheria	22	dependo.22	Hippopotamus_amphibius	Mammalia	Laurasiatheria	Unclassified	Hippopotamidae	Hippopotamus	Hippopotamus_amphibius	low_coverage	ASM299558v1	GCA_002995585.1_ASM299558v1_genomic.fna	NKPW01114987.1	+	280	606	Rep	99	206	1	318	109	135	68.807	3.69	43	4	0	NS[dependo.22-laurasiatheria(+)]	327	Dependoparvovirus
dependo.22-Panthera_leo	dependo.22-laurasiatheria	22	dependo.22	Panthera_leo	Mammalia	Laurasiatheria	Carnivora	Felidae	Panthera	Panthera_leo	low_coverage	UCSF_Mcou_1	GCA_008795835.1_PanLeo1.0_genomic.fna	VOCV01000391.1	+	44143247	44143621	Rep	97	206	19	351	114	133	62.281	4.27	42	4	0	NS[dependo.22-laurasiatheria(+)]	375	Dependoparvovirus
dependo.22-Panthera_tigris_altaica	dependo.22-laurasiatheria	22	dependo.22	Panthera_tigris_altaica	Mammalia	Laurasiatheria	Carnivora	Felidae	Panthera	Panthera_tigris_altaica	low_coverage	ncbi_100_2014-03	74533_ref_PanTig1.0_chrUn.fa	gi|589289565|ref|NW_006711412.1|	-	1824017	1824391	Rep	97	206	19	351	114	132	62.281	6.31	42	4	0	NS[dependo.22-laurasiatheria(-)]	375	Dependoparvovirus
